#{"t_start": 1780842962.2041626, "env_id": "None"}
r,l,t
-73.9581,23,1.179584
-67.038272,21,1.187595
-62.222682,25,1.188841
-70.990009,19,1.188841
-42.760716,54,1.504424
-64.721661,21,1.623997
-63.503836,20,1.736591
-51.75275,27,1.882931
-53.056544,94,2.404987
-58.137124,40,2.632632
-72.708564,50,2.907705
-57.776671,24,3.053623
347.516866,1000,8.790698
-77.048663,53,9.087219
74.251786,394,11.297355
434.508896,1000,16.874927
425.872544,1000,22.410389
518.73678,1000,28.121677
509.881899,1000,33.69669
548.474118,1000,39.243375
523.638505,1000,45.254309
484.941473,1000,51.235199
598.306658,1000,57.308435
645.126364,1000,63.272939
726.961228,1000,69.206241
691.923623,1000,75.363797
726.958815,1000,81.300583
584.578045,1000,87.626634
777.368612,1000,93.607859
753.138791,1000,99.857268
750.426556,1000,105.806588
832.876034,1000,111.746268
757.567073,1000,117.628597
766.144493,1000,123.614418
785.036557,1000,129.892118
851.242234,1000,136.127813
910.395659,1000,142.126227
904.545848,1000,148.026633
902.998088,1000,154.088182
880.397869,1000,160.029333
856.926598,1000,166.152319
870.053258,1000,172.328409
853.840648,1000,178.52109
872.024113,1000,184.389244
877.692832,1000,189.943144
870.734097,1000,195.898727
901.333568,1000,201.774534
901.407812,1000,207.678554
907.957006,1000,213.781829
937.318975,1000,219.630992
959.764647,1000,225.540478
956.920451,1000,231.329561
935.050034,1000,237.449725
927.790061,1000,242.970444
899.114607,1000,248.35154
941.168837,1000,253.756792
943.699478,1000,259.067777
979.520027,1000,264.440936
916.470358,1000,269.773946
935.412187,1000,275.185055
905.194035,1000,280.713325
976.801867,1000,286.108018
994.800466,1000,291.506815
