#{"t_start": 1780804284.1113691, "env_id": "None"}
r,l,t
-35.441004,23,1.851586
-35.970589,21,1.858666
-33.798706,25,1.869179
-33.85276,19,1.878783
-36.871158,55,2.475226
-35.146489,15,2.558634
-33.511978,34,2.764518
-35.344443,25,2.905204
-31.384443,49,3.214805
-34.339758,25,3.38371
-35.556748,23,3.50505
-28.184429,36,3.705291
-34.116458,25,3.842352
-33.803396,23,3.971338
-34.099954,19,4.080812
-35.443179,19,4.203538
-33.488248,16,4.301568
-34.29331,16,4.398813
-34.913044,18,4.48866
-33.927549,17,5.015276
-35.098162,15,5.105111
-33.784806,15,5.192116
-35.844975,18,5.298521
-37.178668,18,5.398361
-37.415148,18,5.498814
-37.268226,18,5.602179
-37.406479,18,5.707225
-33.390481,19,5.813106
-37.837273,18,5.899711
-34.128195,20,6.002122
-34.32946,20,6.115294
-38.59302,17,6.228669
-38.040539,20,6.341241
-38.106245,18,6.442802
-34.127215,20,6.558386
-37.36623,18,6.658483
-33.5599,18,6.766862
-34.706202,16,6.856029
-40.806522,18,6.95533
-33.385821,18,7.058075
-36.068994,17,7.153222
-36.472422,21,7.270299
-40.353369,19,7.405583
-32.969524,22,7.540695
-32.021843,18,7.649538
-32.709109,20,7.768818
-34.08382,21,7.898669
-39.975602,21,8.008869
-33.577429,22,8.151335
-34.103859,22,8.264913
-33.432698,23,8.397075
-33.564078,20,8.517291
-37.992417,22,8.634902
-33.630143,19,8.744081
-39.536579,23,8.866462
-36.441756,20,8.987193
-39.887604,24,9.121349
-42.375041,29,9.285193
-37.765828,25,9.438931
-43.731996,50,9.718667
-38.019443,34,9.908817
-35.096615,25,10.044981
-35.31469,25,10.181368
-39.728324,24,10.328544
-33.639057,22,10.444845
-42.740668,29,10.595416
-33.318573,24,10.748592
-34.02713,32,10.936022
-34.289545,37,11.149794
-32.727078,29,11.322856
-55.041588,74,11.738674
-42.986567,50,12.020436
-34.880548,35,12.217854
-34.992013,43,12.459881
-35.196843,51,12.74121
-37.936596,47,13.027001
-34.423598,43,13.278826
-36.488518,50,13.560675
-41.509043,71,13.965123
-36.720458,88,14.446678
-33.485298,60,14.799633
-2.95424,1000,20.50632
20.130668,1000,26.249456
27.88875,1000,31.897468
110.993337,1000,37.565452
78.962658,1000,43.299375
65.353559,1000,49.133023
53.905231,1000,54.960512
91.778184,1000,60.73849
274.412739,1000,66.362979
105.132183,534,69.416053
332.937735,1000,75.07872
289.998836,1000,80.91872
312.757735,1000,86.69263
567.775303,1000,92.523455
537.562012,1000,98.329365
596.149543,1000,104.009377
605.005894,1000,109.832636
614.779128,1000,115.46512
659.065263,1000,121.405035
643.40057,1000,127.351962
613.875621,1000,132.950583
653.509617,1000,138.647319
635.710229,1000,144.425536
643.324933,1000,150.147735
648.126954,1000,155.862962
662.167944,1000,161.657564
635.59146,1000,167.474983
655.198882,1000,173.221648
668.147555,1000,178.901207
669.032604,1000,184.770954
645.163463,1000,190.657656
637.893857,1000,196.804646
686.69072,1000,202.93042
636.510098,1000,208.987481
669.564871,1000,215.131286
668.38988,1000,220.977427
659.422275,1000,226.997294
641.545737,1000,232.954958
629.577338,1000,238.878267
677.563876,1000,244.987997
672.315388,1000,250.813289
685.514589,1000,256.95826
654.632169,1000,262.631398
644.281052,1000,268.757561
648.009685,1000,274.487353
652.050316,1000,280.079411
652.840671,1000,285.851654
649.474101,1000,291.695828
